pathway,n_mut,n_wt,median_mut,median_wt,delta_median_p,mean_mut,mean_wt,delta_mean_p,mannwhitney_p
PI3K,24,40,0.611674218638574,0.37827874392142113,0.23339547471715283,0.5693786157967627,0.4108210803461425,0.15855753545062024,0.08425671547881002
Cell_cycle,24,40,0.4822340737125852,0.3867095157092954,0.0955245580032898,0.49317640922321293,0.4565424042902723,0.03663400493294061,0.6622372482720629
DNA_repair,19,45,0.48227733099395925,0.42573778961871095,0.0565395413752483,0.5440779904250517,0.43912107055315597,0.1049569198718957,0.3700624470422895
RTK_RAS,22,42,0.4104587694711288,0.4307482040305318,-0.02028943455940302,0.464212118729217,0.4734586519267912,-0.00924653319757418,0.8708701563904158
TP53,28,36,0.4040340223487977,0.43650554370241584,-0.03247152135361814,0.45146608079848477,0.4849133258502898,-0.03344724505180502,0.7198700867809028
